epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.058,2.33745,4.53172,3.54683,0,0,0,0,2.90459,4.22963,3.76866,0.072679,0.002679,0.002679
2,23.8553,1.92797,3.47669,2.68757,0,0,0,0,0,inf,0,0.0444293,0.00542933,0.00542933
3,34.2083,1.68649,3.03691,2.34118,0,0,0,0,3.45151,93.9864,10.1291,0.0161614,0.0081614,0.0081614
4,44.2611,1.53189,2.79278,2.15392,0.12527,0.025,0.0002,2e-05,3.34191,6.95879,7.66939,0.00884164,0.00884164,0.00884164
5,54.4427,1.45777,2.70076,2.09707,0.64946,0.025,0.00991,0.00359,2.54497,4.1269,3.34707,0.00881218,0.00881218,0.00881218
6,65.1236,1.38109,2.50657,1.9915,0.76758,0.01293,0.00435,0.00106,2.67417,4.16701,3.57575,0.00878273,0.00878273,0.00878273
7,75.4583,1.32811,2.4004,1.93064,0.10458,0.73861,0.24695,0.1193,1.28696,3.36237,1.82259,0.00875328,0.00875328,0.00875328
8,85.5248,1.27275,2.31115,1.88857,0.57313,0.43625,0.34043,0.1687,1.04308,1.97177,1.63018,0.00872382,0.00872382,0.00872382
9,96.2577,1.24765,2.26189,1.86913,0.77928,0.16096,0.26683,0.09816,1.35033,2.48509,1.87903,0.00869437,0.00869437,0.00869437
10,106.614,1.26147,2.25495,1.87148,0.91013,0.16845,0.30302,0.08521,1.53825,2.15285,2.13653,0.00866492,0.00866492,0.00866492
11,116.257,1.21427,2.16089,1.82118,0.46963,0.16761,0.14467,0.05368,1.62435,2.86703,2.45637,0.00863546,0.00863546,0.00863546
12,125.838,1.19484,2.09614,1.79897,0.60724,0.41685,0.54551,0.2709,1.06798,1.64375,1.64007,0.00860601,0.00860601,0.00860601
13,135.592,1.17239,2.07677,1.79712,0.50096,0.33081,0.33347,0.16926,1.19479,2.5279,1.76402,0.00857655,0.00857655,0.00857655
14,145.229,1.17153,2.05222,1.77188,0.63422,0.26677,0.34188,0.15724,1.07381,1.65483,1.63754,0.0085471,0.0085471,0.0085471
15,154.873,1.1559,2.04164,1.76313,0.64967,0.51082,0.38541,0.22452,1.03233,2.15051,1.5696,0.00851765,0.00851765,0.00851765
16,164.543,1.1475,2.00048,1.75305,0.74295,0.2608,0.29343,0.15008,1.02004,1.90836,1.60193,0.00848819,0.00848819,0.00848819
17,174.195,1.14125,2.00674,1.76252,0.6047,0.49656,0.43136,0.15628,1.19502,2.12315,1.73362,0.00845874,0.00845874,0.00845874
18,183.843,1.12753,1.96335,1.74255,0.53116,0.40684,0.47733,0.25267,0.95837,1.45981,1.52448,0.00842929,0.00842929,0.00842929
19,193.638,1.12731,1.91065,1.73116,0.86233,0.26247,0.33181,0.17187,1.01609,2.31155,1.57059,0.00839983,0.00839983,0.00839983
20,203.395,1.10934,1.90279,1.72268,0.41081,0.53413,0.30865,0.17301,1.16273,3.12476,1.6965,0.00837038,0.00837038,0.00837038
21,213.177,1.09044,1.86523,1.68325,0.88736,0.30118,0.46596,0.18574,1.30874,1.81052,1.97005,0.00834092,0.00834092,0.00834092
22,222.929,1.0977,1.88202,1.69309,0.44313,0.59381,0.58684,0.32121,0.90373,1.48337,1.46268,0.00831147,0.00831147,0.00831147
23,230.464,1.07598,1.85009,1.6736,0.81769,0.36168,0.46612,0.22107,1.10249,1.73914,1.64568,0.00828202,0.00828202,0.00828202
24,240.117,1.07574,1.82784,1.67689,0.4104,0.67174,0.72107,0.45643,0.86374,1.4635,1.42422,0.00825256,0.00825256,0.00825256
25,249.8,1.06245,1.79899,1.65991,0.81421,0.52614,0.55695,0.30205,0.91196,1.40247,1.47994,0.00822311,0.00822311,0.00822311
26,259.417,1.0535,1.77745,1.63889,0.88475,0.52097,0.74853,0.37318,0.92721,1.45754,1.50343,0.00819365,0.00819365,0.00819365
27,269.09,1.06794,1.7722,1.65548,0.71654,0.60632,0.654,0.35778,1.00657,1.53012,1.54056,0.0081642,0.0081642,0.0081642
28,278.804,1.06042,1.79162,1.65239,0.82685,0.40827,0.67227,0.4245,0.85876,1.52354,1.40169,0.00813475,0.00813475,0.00813475
29,288.367,1.03683,1.72308,1.62178,0.41842,0.62646,0.51214,0.29221,0.89458,1.47113,1.49666,0.00810529,0.00810529,0.00810529
30,298.053,1.0431,1.73364,1.61117,0.50563,0.65268,0.60474,0.32057,0.86106,1.38333,1.4373,0.00807584,0.00807584,0.00807584
31,307.751,1.03273,1.7303,1.63034,0.50384,0.57254,0.4047,0.21822,0.96642,1.80549,1.51111,0.00804639,0.00804639,0.00804639
32,317.381,1.04702,1.76277,1.63722,0.51962,0.4574,0.48782,0.25846,0.89358,1.51708,1.46102,0.00801693,0.00801693,0.00801693
33,327.181,1.05666,1.75248,1.65267,0.39444,0.79064,0.73381,0.44854,0.83698,1.29671,1.42265,0.00798748,0.00798748,0.00798748
34,336.833,1.01916,1.70552,1.59713,0.43675,0.36495,0.43069,0.17416,1.04796,2.39194,1.60218,0.00795802,0.00795802,0.00795802
