epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9194,2.90649,3.32834,1.33343,0.00022,0.09106,0.00065,0.0002,3.46348,4.64056,2.01559,0.06646,0.00396,0.00396
2,31.4764,2.08593,2.36355,0.95024,0.7761,0.04831,0.05017,0.01631,2.35944,5.10482,1.26729,0.0323346,0.00795957,0.00795957
3,45.3586,1.88428,2.13198,0.87406,0.85715,0.08303,0.09492,0.04254,2.17706,3.019,1.13635,0.0104901,0.0104901,0.0104901
4,59.5929,1.78625,1.98135,0.84008,0.39277,0.10708,0.06625,0.0254,2.32293,3.96117,1.18286,0.0104551,0.0104551,0.0104551
5,73.3759,1.73881,1.89767,0.81834,0.89467,0.10734,0.14951,0.06929,1.93771,2.99614,1.16216,0.0104202,0.0104202,0.0104202
6,87.0105,1.66089,1.77944,0.79054,0.32311,0.25823,0.18368,0.0896,1.83302,2.51904,1.07343,0.0103852,0.0103852,0.0103852
7,100.525,1.63239,1.74147,0.7869,0.82082,0.15284,0.15185,0.07234,2.18322,2.63615,1.23855,0.0103503,0.0103503,0.0103503
8,114.197,1.61288,1.71885,0.78386,0.4431,0.25256,0.20525,0.09546,1.9323,2.22412,1.06776,0.0103153,0.0103153,0.0103153
9,127.857,1.60232,1.66631,0.77229,0.45867,0.33489,0.22302,0.1102,1.90171,10.7441,1.27379,0.0102804,0.0102804,0.0102804
10,141.465,1.58056,1.68005,0.76679,0.60416,0.23426,0.21324,0.10098,1.97684,2.45975,1.17394,0.0102454,0.0102454,0.0102454
11,155.228,1.53551,1.60566,0.75501,0.52523,0.25312,0.24642,0.12605,1.81576,2.25555,1.05438,0.0102105,0.0102105,0.0102105
12,169.023,1.52111,1.57417,0.74739,0.47425,0.27544,0.23948,0.11458,1.7816,2.19154,1.04855,0.0101755,0.0101755,0.0101755
13,182.624,1.50425,1.50654,0.73307,0.60838,0.25719,0.23218,0.11621,2.02764,3.13314,1.05949,0.0101406,0.0101406,0.0101406
14,196.648,1.51383,1.52262,0.7465,0.61001,0.22556,0.21201,0.10748,1.79266,2.36279,1.06737,0.0101056,0.0101056,0.0101056
15,210.38,1.49728,1.49744,0.73762,0.65181,0.28002,0.2743,0.14294,1.67593,1.87536,1.00113,0.0100707,0.0100707,0.0100707
16,224.19,1.47271,1.47357,0.72963,0.78537,0.22625,0.26492,0.13843,1.79433,2.29972,1.05064,0.0100357,0.0100357,0.0100357
17,237.912,1.48936,1.49003,0.73686,0.37749,0.32813,0.29047,0.15436,1.62999,2.29717,0.99182,0.0100008,0.0100008,0.0100008
18,251.762,1.47172,1.45962,0.72847,0.62528,0.30745,0.29462,0.14192,1.77705,1.91894,1.04373,0.00996582,0.00996582,0.00996582
19,265.408,1.45867,1.45335,0.72948,0.65738,0.29132,0.30793,0.16191,1.72295,1.90587,1.02151,0.00993087,0.00993087,0.00993087
20,279.54,1.46645,1.44684,0.72568,0.47257,0.21868,0.19828,0.09665,2.08383,2.88614,1.19957,0.00989592,0.00989592,0.00989592
21,294.582,1.43912,1.4367,0.72203,0.55168,0.30665,0.29638,0.15329,1.7692,1.9164,1.01946,0.00986096,0.00986096,0.00986096
22,309.496,1.46631,1.44414,0.72844,0.6836,0.29679,0.31421,0.1648,1.70027,1.94111,1.01252,0.00982601,0.00982601,0.00982601
23,324.398,1.44415,1.42093,0.71791,0.68497,0.29578,0.29985,0.16194,1.7568,1.97901,1.0154,0.00979106,0.00979106,0.00979106
24,339.632,1.42551,1.4066,0.71607,0.51622,0.34111,0.30275,0.15987,1.67138,1.88898,1.01329,0.00975611,0.00975611,0.00975611
25,354.655,1.42826,1.40459,0.71761,0.5296,0.30943,0.3116,0.16611,1.63272,1.96826,0.98781,0.00972116,0.00972116,0.00972116
26,369.305,1.42802,1.39236,0.71521,0.54022,0.30481,0.30068,0.15845,1.71007,2.11999,0.99796,0.0096862,0.0096862,0.0096862
27,384.009,1.40498,1.37779,0.70843,0.66166,0.31531,0.31505,0.16828,1.58503,1.81541,0.96759,0.00965125,0.00965125,0.00965125
28,398.793,1.39826,1.36911,0.70853,0.67152,0.32532,0.33172,0.1793,1.60796,1.82029,0.96491,0.0096163,0.0096163,0.0096163
29,413.525,1.39855,1.37121,0.70635,0.75801,0.25557,0.30714,0.16362,1.71812,1.98141,1.01413,0.00958135,0.00958135,0.00958135
30,428.126,1.39697,1.35577,0.70176,0.58843,0.33782,0.33371,0.17877,1.63578,1.84354,0.99321,0.0095464,0.0095464,0.0095464
31,442.938,1.39048,1.34443,0.70072,0.6716,0.32498,0.32476,0.17275,1.64388,1.76769,0.97838,0.00951144,0.00951144,0.00951144
32,457.754,1.3913,1.33272,0.70413,0.5379,0.33508,0.3275,0.17068,1.77961,1.93495,1.03732,0.00947649,0.00947649,0.00947649
33,472.33,1.38967,1.36833,0.70459,0.70829,0.29041,0.3168,0.1689,1.70986,2.0339,0.99898,0.00944154,0.00944154,0.00944154
34,487.336,1.38022,1.33801,0.70108,0.68014,0.31762,0.31413,0.17403,1.72761,2.06182,0.9953,0.00940659,0.00940659,0.00940659
