epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.5003,2.11794,3.49678,1.61252,0.00052,0.07833,0.00033,0.00013,2.3122,inf,33.9704,0.072868,0.002868,0.002868
2,17.1704,1.93062,2.43444,1.52601,0.00387,0.19889,0.00624,0.00312,2.22982,inf,13.036,0.0448124,0.00581236,0.00581236
3,24.8883,1.86328,2.10409,1.48696,0.04269,0.32825,0.0486,0.0238,2.02921,inf,2.89869,0.0167372,0.00873716,0.00873716
4,32.5428,1.7992,1.9867,1.46326,0.40154,0.23389,0.12848,0.07104,1.85278,inf,2.01779,0.00946537,0.00946537,0.00946537
5,39.4561,1.76635,1.89565,1.44788,0.36961,0.22511,0.15472,0.08991,1.80944,15.7482,1.8458,0.00943382,0.00943382,0.00943382
6,46.3522,1.74374,1.83207,1.4151,0.74326,0.24544,0.18349,0.10754,1.72214,7.93366,1.57989,0.00940228,0.00940228,0.00940228
7,53.4392,1.69512,1.79619,1.39776,0.73191,0.22648,0.26653,0.13433,1.65477,3.42373,1.52305,0.00937074,0.00937074,0.00937074
8,60.2338,1.6792,1.76954,1.39496,0.39108,0.44509,0.26383,0.14531,1.71668,1.76361,1.61458,0.00933919,0.00933919,0.00933919
9,67.1173,1.66868,1.74727,1.40408,0.50211,0.41897,0.33501,0.17685,1.69365,1.90157,1.54355,0.00930765,0.00930765,0.00930765
10,74.0046,1.6683,1.69636,1.38687,0.50127,0.42253,0.35295,0.17954,1.65734,1.66866,1.51021,0.00927611,0.00927611,0.00927611
11,80.8819,1.62359,1.64198,1.36954,0.59004,0.33312,0.31244,0.15572,1.67595,1.77948,1.52989,0.00924456,0.00924456,0.00924456
12,87.7737,1.63556,1.65404,1.37269,0.47354,0.36705,0.28284,0.14403,1.65881,1.58813,1.6023,0.00921302,0.00921302,0.00921302
13,95.1341,1.62676,1.63277,1.36927,0.4721,0.31245,0.2992,0.15289,1.65582,1.8143,1.55137,0.00918147,0.00918147,0.00918147
