epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.6052,1.2737,3.60266,1.74785,0,0,0,0,1.70859,inf,4.7048,0.072679,0.002679,0.002679
2,18.8806,1.16023,2.40821,1.63309,0.00016,0.00431,9e-05,1e-05,2.62403,inf,23.0964,0.0444293,0.00542933,0.00542933
3,27.6923,1.15452,2.16987,1.62183,0,0,0,0,2.54891,inf,7.36713,0.0161614,0.0081614,0.0081614
4,36.4373,1.12457,2.05985,1.6134,0.20833,0.00862,0.01841,0.00596,1.28078,175.955,2.31906,0.00884164,0.00884164,0.00884164
5,45.4124,1.11811,2.02714,1.61259,0.40822,0.03017,0.02164,0.00931,1.51875,11.4265,2.30465,0.00881218,0.00881218,0.00881218
6,54.1739,1.10716,1.94588,1.60462,0.0492,0.16798,0.04863,0.02634,1.49074,8.1303,2.21991,0.00878273,0.00878273,0.00878273
7,62.9377,1.07099,1.89471,1.57189,0.51093,0.3032,0.14452,0.0625,1.16261,4.12431,1.84333,0.00875328,0.00875328,0.00875328
8,71.6844,1.05365,1.85339,1.56847,0.41488,0.47228,0.33046,0.19271,0.92289,2.52622,1.50034,0.00872382,0.00872382,0.00872382
9,80.3924,1.04868,1.84636,1.56884,0.90318,0.19745,0.29263,0.13568,1.05699,2.75426,1.61568,0.00869437,0.00869437,0.00869437
10,89.1242,1.03307,1.806,1.54844,0.33503,0.41093,0.47802,0.25171,0.98645,2.02117,1.60612,0.00866492,0.00866492,0.00866492
11,97.9725,1.01291,1.73032,1.52848,0.55694,0.29236,0.28906,0.14286,1.15708,2.66487,1.71656,0.00863546,0.00863546,0.00863546
12,106.725,1.00743,1.7216,1.52871,0.68764,0.0843,0.05673,0.02086,1.61157,3.92764,2.43829,0.00860601,0.00860601,0.00860601
13,115.441,0.99405,1.69869,1.52385,0.83624,0.35294,0.54117,0.29891,1.04524,2.09152,1.62262,0.00857655,0.00857655,0.00857655
14,124.158,0.9944,1.67844,1.51662,0.51206,0.20475,0.2116,0.12116,1.02093,3.32637,1.58658,0.0085471,0.0085471,0.0085471
15,132.91,0.98636,1.68723,1.50716,0.40386,0.54988,0.37278,0.23451,1.03732,3.73041,1.68372,0.00851765,0.00851765,0.00851765
16,141.676,0.97987,1.66354,1.4994,0.08863,0.5202,0.13077,0.06053,1.33705,4.82477,1.93457,0.00848819,0.00848819,0.00848819
17,150.457,0.99443,1.685,1.52849,0.34812,0.55553,0.26902,0.12696,1.281,3.00648,1.90283,0.00845874,0.00845874,0.00845874
18,159.152,0.9812,1.63651,1.50706,0.70069,0.23791,0.30347,0.09705,1.50019,2.30862,2.13446,0.00842929,0.00842929,0.00842929
19,167.835,0.95984,1.58284,1.47924,0.83938,0.22825,0.5446,0.28356,1.02046,1.87637,1.62478,0.00839983,0.00839983,0.00839983
