epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0976,2.11489,3.0349,1.6114,0.12529,0.08919,0.00018,5e-05,nan,nan,nan,0.07144,0.00301895,0.00301895
2,51.5514,1.91819,2.14212,1.54278,0.02519,0.14811,0.01016,0.00444,3.51404,inf,74.6637,0.0421798,0.00608961,0.00608961
3,66.0051,1.88889,2.02362,1.53556,0.06177,0.06463,0.03644,0.01631,3.05866,inf,4.31189,0.0128993,0.00913989,0.00913989
4,80.83,1.87891,1.98428,1.54611,0.27328,0.14918,0.05023,0.02304,2.89004,inf,4.50203,0.00946537,0.00946537,0.00946537
5,95.8426,1.82435,1.8425,1.512,0.57839,0.12825,0.13752,0.06641,2.3043,13.9032,2.27159,0.00943382,0.00943382,0.00943382
6,109.209,1.76011,1.75991,1.46081,0.3673,0.06138,0.05531,0.01819,3.17132,5.24591,2.89293,0.00940228,0.00940228,0.00940228
7,122.175,1.75686,1.74905,1.4559,0.61591,0.15901,0.16824,0.08487,2.20147,3.04274,2.08633,0.00937074,0.00937074,0.00937074
8,135.296,1.71911,1.70791,1.45372,0.55279,0.17243,0.16751,0.07777,2.33404,3.98671,2.20373,0.00933919,0.00933919,0.00933919
9,149.578,1.69539,1.66522,1.42987,0.60105,0.1541,0.16794,0.0848,2.03283,2.76589,2.01184,0.00930765,0.00930765,0.00930765
10,164.175,1.63082,1.59844,1.38805,0.19715,0.37124,0.136,0.04814,2.65095,3.91549,2.29498,0.00927611,0.00927611,0.00927611
11,177.6,1.63585,1.58618,1.39398,0.73524,0.18118,0.1867,0.10307,2.16961,2.65393,2.1235,0.00924456,0.00924456,0.00924456
12,190.418,1.62122,1.5664,1.39146,0.85804,0.18749,0.22161,0.1219,2.03088,2.75274,2.00183,0.00921302,0.00921302,0.00921302
13,205.339,1.65061,1.57043,1.40634,0.51654,0.2463,0.2526,0.14314,2.19995,2.34638,2.05023,0.00918147,0.00918147,0.00918147
14,219.56,1.63577,1.59914,1.40131,0.77142,0.23112,0.26406,0.14859,1.89598,2.54792,1.93738,0.00914993,0.00914993,0.00914993
15,234.093,1.61342,1.54208,1.37542,0.55943,0.19532,0.16999,0.08187,2.09735,2.90765,1.91933,0.00911839,0.00911839,0.00911839
16,248.111,1.58162,1.48772,1.35802,0.73259,0.23052,0.28277,0.1549,1.8544,2.12658,1.85632,0.00908684,0.00908684,0.00908684
17,263.01,1.5931,1.49125,1.37142,0.79442,0.2232,0.26088,0.13946,2.22389,2.31399,2.12822,0.0090553,0.0090553,0.0090553
18,276.759,1.56073,1.45173,1.35228,0.33348,0.20988,0.1855,0.10107,2.22806,2.58417,2.03473,0.00902375,0.00902375,0.00902375
19,290.623,1.57247,1.47357,1.35937,0.70587,0.31794,0.33638,0.18269,1.74851,2.34954,1.73361,0.00899221,0.00899221,0.00899221
20,304.616,1.57559,1.44276,1.35448,0.73016,0.23701,0.23085,0.11616,2.15939,2.87164,2.25195,0.00896067,0.00896067,0.00896067
21,319.256,1.56326,1.44137,1.34971,0.45725,0.28856,0.2822,0.15812,1.90199,2.47427,1.90382,0.00892912,0.00892912,0.00892912
22,333.284,1.5402,1.42841,1.34745,0.50147,0.26336,0.24799,0.14402,2.1483,2.89663,2.00903,0.00889758,0.00889758,0.00889758
23,347.338,1.52886,1.41919,1.33431,0.56611,0.16337,0.17248,0.08569,2.20387,2.52744,2.0734,0.00886604,0.00886604,0.00886604
24,360.94,1.53386,1.38932,1.32891,0.61038,0.29477,0.28656,0.16301,1.88813,2.5545,1.94063,0.00883449,0.00883449,0.00883449
25,375.415,1.53636,1.40127,1.33315,0.68422,0.2871,0.31268,0.17266,1.91143,2.06004,1.81591,0.00880295,0.00880295,0.00880295
26,388.936,1.52282,1.38582,1.333,0.56095,0.32348,0.31687,0.18295,1.74157,2.00547,1.83286,0.0087714,0.0087714,0.0087714
27,402.118,1.50102,1.36012,1.31281,0.6485,0.35558,0.35231,0.20326,1.72502,1.89099,1.7738,0.00873986,0.00873986,0.00873986
28,415.42,1.53113,1.39085,1.3297,0.7915,0.28704,0.3257,0.17768,1.88068,1.93262,1.8308,0.00870832,0.00870832,0.00870832
29,429.084,1.53903,1.4195,1.34216,0.44026,0.13129,0.13608,0.06875,2.13913,3.39752,1.93468,0.00867677,0.00867677,0.00867677
30,442.004,1.53849,1.3839,1.33498,0.72442,0.20333,0.22601,0.11909,2.32482,2.71305,2.08604,0.00864523,0.00864523,0.00864523
31,456.278,1.50761,1.36336,1.3217,0.47447,0.25766,0.24898,0.13674,1.95349,2.08414,1.89533,0.00861368,0.00861368,0.00861368
32,470.452,1.5083,1.36674,1.32108,0.76808,0.23812,0.2721,0.13986,2.01002,2.1196,1.93126,0.00858214,0.00858214,0.00858214
33,485.267,1.51615,1.37266,1.3359,0.62434,0.32968,0.32625,0.19028,1.73102,1.99695,1.75757,0.0085506,0.0085506,0.0085506
34,499.175,1.50701,1.33845,1.30922,0.42919,0.35855,0.31856,0.18106,1.87284,1.81771,1.78612,0.00851905,0.00851905,0.00851905
35,513.116,1.48642,1.35451,1.31194,0.57658,0.32501,0.33541,0.18396,1.78001,1.91775,1.74868,0.00848751,0.00848751,0.00848751
36,526.892,1.50862,1.37203,1.31038,0.78197,0.26341,0.28299,0.16638,1.82244,2.29721,1.81108,0.00845596,0.00845596,0.00845596
37,541.506,1.47872,1.33726,1.3023,0.78254,0.25544,0.28681,0.16853,1.93603,2.24857,1.97933,0.00842442,0.00842442,0.00842442
38,555.404,1.48456,1.33631,1.31108,0.57557,0.31424,0.33505,0.19187,1.78993,1.8995,1.73131,0.00839288,0.00839288,0.00839288
39,569.124,1.49995,1.32581,1.31396,0.74418,0.29233,0.29982,0.1746,2.10395,2.01215,2.0453,0.00836133,0.00836133,0.00836133
40,583.137,1.48487,1.3138,1.29371,0.6453,0.25129,0.26913,0.15184,2.0477,2.83685,1.90664,0.00832979,0.00832979,0.00832979
41,597.393,1.47775,1.31941,1.29946,0.61113,0.39054,0.36545,0.20446,1.74902,1.75322,1.70749,0.00829825,0.00829825,0.00829825
42,611.159,1.48141,1.31225,1.30009,0.79237,0.26907,0.283,0.17037,1.86922,2.77554,1.82451,0.0082667,0.0082667,0.0082667
43,625.118,1.46944,1.28683,1.28769,0.46495,0.40038,0.37275,0.20981,1.79133,1.73258,1.85223,0.00823516,0.00823516,0.00823516
44,639.296,1.46729,1.29277,1.29359,0.46204,0.41911,0.37658,0.21418,1.75568,1.66417,1.69899,0.00820361,0.00820361,0.00820361
45,652.843,1.4688,1.28194,1.29241,0.64089,0.212,0.23974,0.13716,2.07955,2.54191,1.95301,0.00817207,0.00817207,0.00817207
46,665.69,1.47399,1.2884,1.30668,0.41913,0.16349,0.12234,0.05186,2.2569,3.22828,2.03719,0.00814053,0.00814053,0.00814053
47,678.621,1.48173,1.31255,1.30178,0.427,0.42091,0.37975,0.21564,1.72007,1.76999,1.68125,0.00810898,0.00810898,0.00810898
48,691.479,1.4299,1.26487,1.2721,0.48241,0.35248,0.33868,0.19602,1.82462,1.98326,1.78569,0.00807744,0.00807744,0.00807744
49,705.093,1.4383,1.24145,1.2712,0.54859,0.32087,0.32321,0.18699,1.93202,1.84377,1.82483,0.00804589,0.00804589,0.00804589
50,717.909,1.47114,1.26794,1.29134,0.55123,0.40098,0.40187,0.23017,1.71657,1.7009,1.69539,0.00801435,0.00801435,0.00801435
51,730.709,1.45938,1.27882,1.28415,0.60209,0.39593,0.37523,0.21015,1.76006,1.71075,1.70301,0.00798281,0.00798281,0.00798281
52,743.745,1.46591,1.30683,1.29283,0.62695,0.40782,0.38787,0.21798,1.72322,1.69053,1.74744,0.00795126,0.00795126,0.00795126
53,757.309,1.45378,1.27837,1.28766,0.71458,0.30318,0.31063,0.17552,1.97054,2.38951,1.90021,0.00791972,0.00791972,0.00791972
54,770.391,1.437,1.25245,1.27674,0.58496,0.41452,0.37652,0.21099,1.83254,1.77903,1.76757,0.00788818,0.00788818,0.00788818
55,783.672,1.44093,1.27055,1.27909,0.83982,0.29714,0.38397,0.2229,1.68185,1.79943,1.75465,0.00785663,0.00785663,0.00785663
56,796.772,1.42714,1.23978,1.27541,0.51034,0.4234,0.38663,0.21756,1.8323,1.73908,1.82162,0.00782509,0.00782509,0.00782509
57,810.625,1.41257,1.22833,1.26698,0.50198,0.46582,0.40317,0.22435,1.67522,1.5906,1.66759,0.00779354,0.00779354,0.00779354
58,823.951,1.44211,1.26653,1.28658,0.52719,0.11176,0.11425,0.0485,2.64354,2.86731,2.44707,0.007762,0.007762,0.007762
59,837.071,1.42198,1.22792,1.26495,0.58466,0.38238,0.36278,0.21482,1.76093,1.9112,1.73034,0.00773046,0.00773046,0.00773046
60,849.955,1.43514,1.26921,1.28064,0.64971,0.32537,0.35078,0.18718,1.85199,1.94122,1.81684,0.00769891,0.00769891,0.00769891
61,863.992,1.43018,1.24404,1.26848,0.76383,0.37308,0.42606,0.2434,1.6976,1.6233,1.72,0.00766737,0.00766737,0.00766737
62,877.236,1.43366,1.26679,1.27772,0.48337,0.37726,0.36893,0.20771,1.76094,1.85057,1.75975,0.00763582,0.00763582,0.00763582
63,890.236,1.43909,1.24081,1.27146,0.50845,0.45883,0.42389,0.23886,1.71661,1.58011,1.67161,0.00760428,0.00760428,0.00760428
64,903.388,1.42076,1.24464,1.26685,0.74201,0.12727,0.15524,0.08509,2.03851,3.61603,1.86465,0.00757274,0.00757274,0.00757274
65,917.307,1.42315,1.2301,1.26785,0.38319,0.43963,0.38574,0.22129,1.69103,1.71384,1.68042,0.00754119,0.00754119,0.00754119
66,930.372,1.44533,1.2411,1.28381,0.66085,0.39854,0.40817,0.22465,1.72345,1.66802,1.70161,0.00750965,0.00750965,0.00750965
67,943.57,1.41321,1.2173,1.26963,0.39698,0.46522,0.39705,0.23049,1.71188,1.6505,1.68502,0.00747811,0.00747811,0.00747811
68,956.402,1.42935,1.24552,1.26628,0.697,0.333,0.36292,0.21051,1.76187,1.98772,1.85695,0.00744656,0.00744656,0.00744656
69,969.685,1.41029,1.24047,1.2529,0.51389,0.44523,0.41058,0.23338,1.71849,1.6248,1.68367,0.00741502,0.00741502,0.00741502
70,982.438,1.41505,1.21992,1.26772,0.61102,0.39605,0.42137,0.24422,1.67971,1.75447,1.72054,0.00738347,0.00738347,0.00738347
71,995.032,1.41418,1.22755,1.26554,0.47343,0.45112,0.39711,0.22637,1.69886,1.69844,1.6735,0.00735193,0.00735193,0.00735193
72,1007.9,1.40952,1.23569,1.26368,0.64455,0.19636,0.22097,0.12297,2.20811,2.96849,2.10434,0.00732039,0.00732039,0.00732039
73,1020.85,1.43471,1.2526,1.27488,0.53743,0.23554,0.25918,0.13818,1.91837,2.2182,1.78602,0.00728884,0.00728884,0.00728884
74,1033.51,1.40298,1.20526,1.26166,0.45994,0.41225,0.38774,0.22274,1.70225,1.71836,1.73282,0.0072573,0.0072573,0.0072573
75,1046.3,1.40569,1.22844,1.26654,0.54236,0.46565,0.45132,0.26243,1.62754,1.57259,1.64563,0.00722575,0.00722575,0.00722575
76,1059.28,1.41627,1.23826,1.26783,0.48954,0.36327,0.35616,0.20616,1.87254,1.77036,1.79392,0.00719421,0.00719421,0.00719421
77,1072.51,1.39605,1.21218,1.25235,0.61228,0.41331,0.37942,0.21324,1.75607,1.73209,1.71632,0.00716267,0.00716267,0.00716267
78,1085.11,1.40587,1.21241,1.26516,0.50315,0.46841,0.43588,0.25685,1.60552,1.56239,1.64236,0.00713112,0.00713112,0.00713112
79,1098.21,1.41587,1.20436,1.26229,0.54475,0.37821,0.36528,0.21151,1.82639,2.05907,1.77324,0.00709958,0.00709958,0.00709958
80,1111,1.39052,1.18679,1.25293,0.41517,0.4559,0.42623,0.24936,1.64231,1.63981,1.66698,0.00706804,0.00706804,0.00706804
81,1124.6,1.40187,1.2006,1.25672,0.53065,0.44406,0.40922,0.23418,1.73014,1.706,1.69575,0.00703649,0.00703649,0.00703649
82,1137.38,1.399,1.20812,1.2641,0.46086,0.39327,0.36788,0.2173,1.74042,1.81067,1.67432,0.00700495,0.00700495,0.00700495
83,1150.12,1.38812,1.18867,1.24989,0.58231,0.38544,0.39809,0.23503,1.63879,1.77301,1.7138,0.0069734,0.0069734,0.0069734
84,1162.8,1.38416,1.18779,1.24878,0.78673,0.30319,0.36088,0.20845,1.7657,2.00831,1.79764,0.00694186,0.00694186,0.00694186
85,1176.33,1.3845,1.17164,1.24284,0.52819,0.45398,0.44094,0.25886,1.6657,1.63178,1.71649,0.00691032,0.00691032,0.00691032
86,1189.05,1.3784,1.1832,1.24156,0.67409,0.47218,0.47492,0.26997,1.64032,1.52416,1.65005,0.00687877,0.00687877,0.00687877
87,1201.82,1.39243,1.18731,1.24886,0.65593,0.38087,0.44211,0.24957,1.66603,1.78039,1.7543,0.00684723,0.00684723,0.00684723
88,1214.61,1.38626,1.19409,1.24972,0.67687,0.45835,0.45067,0.26101,1.62153,1.46155,1.60271,0.00681568,0.00681568,0.00681568
89,1227.72,1.3747,1.17472,1.24281,0.40822,0.39308,0.39036,0.23311,1.73011,1.66595,1.72405,0.00678414,0.00678414,0.00678414
90,1240.43,1.38423,1.18886,1.25049,0.05058,0.3077,0.0951,0.04281,2.68209,4.31376,2.41913,0.0067526,0.0067526,0.0067526
91,1253.26,1.38032,1.18527,1.24312,0.75102,0.29014,0.35369,0.20469,1.81264,2.23145,1.76926,0.00672105,0.00672105,0.00672105
92,1265.99,1.37596,1.16424,1.23705,0.62349,0.40471,0.39242,0.21355,1.80843,1.816,1.78987,0.00668951,0.00668951,0.00668951
