epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8927,2.08854,2.96183,1.57082,0.25009,0.00151,4e-05,1e-05,nan,nan,nan,0.0712509,0.00303894,0.00303894
2,47.5651,1.90422,2.0055,1.4914,0.12722,0.01347,0.00056,0.00016,4.22734,inf,18.2556,0.0418825,0.00612093,0.00612093
3,61.935,1.85719,1.88515,1.48304,0.41256,0.11573,0.03285,0.01456,2.88378,7.32075,2.75823,0.0124937,0.00918244,0.00918244
4,78.3294,1.81535,1.83972,1.4856,0.01558,0.15406,0.01099,0.00476,2.77905,inf,3.1482,0.00946537,0.00946537,0.00946537
5,93.6689,1.73325,1.72941,1.43773,0.57808,0.08135,0.05647,0.02585,2.39903,9.15189,2.3092,0.00943382,0.00943382,0.00943382
6,108.429,1.70052,1.67041,1.40486,0.78465,0.11545,0.11764,0.05964,2.45266,4.91618,2.42569,0.00940228,0.00940228,0.00940228
7,122.503,1.68131,1.62473,1.40476,0.75295,0.08574,0.09204,0.03844,2.54429,3.31274,2.35749,0.00937074,0.00937074,0.00937074
8,136.575,1.67889,1.61548,1.40311,0.26731,0.17085,0.10338,0.03808,2.76573,2.80773,2.56092,0.00933919,0.00933919,0.00933919
9,152.284,1.65436,1.57177,1.40131,0.22397,0.06615,0.04665,0.0186,2.89216,8.13927,2.55542,0.00930765,0.00930765,0.00930765
10,167.869,1.64912,1.55017,1.38944,0.47488,0.23318,0.1921,0.08342,2.1533,2.4198,2.039,0.00927611,0.00927611,0.00927611
11,183.567,1.62311,1.51458,1.37206,0.57119,0.24109,0.20091,0.10387,2.10259,2.68656,2.01833,0.00924456,0.00924456,0.00924456
12,198.827,1.60776,1.50719,1.36864,0.44563,0.32876,0.24498,0.12531,1.90697,2.29036,1.92072,0.00921302,0.00921302,0.00921302
13,214.49,1.58971,1.47163,1.3546,0.27688,0.2296,0.14687,0.06883,2.36198,15.1486,2.42819,0.00918147,0.00918147,0.00918147
