epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0383,1.80783,2.80384,0.79091,2e-05,0.00118,1e-05,0,nan,nan,nan,0.06672,0.0039293,0.0039293
2,41.4096,1.69888,2.01762,0.78578,0.004,0.13672,0.00345,0.00099,2.78016,inf,1.81722,0.0327204,0.00791418,0.00791418
3,58.322,1.66821,1.88424,0.77834,0.04821,0.03535,0.01999,0.00544,nan,nan,nan,0.0104901,0.0104901,0.0104901
4,75.2089,1.60818,1.80072,0.76494,0.42822,0.16697,0.04671,0.01705,2.05931,inf,1.22881,0.0104551,0.0104551,0.0104551
5,92.2298,1.53656,1.67635,0.74455,0.51666,0.1345,0.15187,0.07323,1.94289,9.58212,1.08378,0.0104202,0.0104202,0.0104202
6,108.585,1.49646,1.61057,0.72709,0.76548,0.18802,0.20059,0.0963,1.95454,3.28518,1.01334,0.0103852,0.0103852,0.0103852
7,124.863,1.46619,1.54023,0.71734,0.68611,0.06627,0.09746,0.03154,2.85895,9.06458,1.51797,0.0103503,0.0103503,0.0103503
8,141.331,1.46358,1.53367,0.71324,0.44238,0.28346,0.21526,0.10671,1.85452,2.12466,0.97439,0.0103153,0.0103153,0.0103153
9,156.631,1.43232,1.51319,0.70911,0.51932,0.14437,0.09782,0.03238,2.94597,5.09142,1.50961,0.0102804,0.0102804,0.0102804
10,171.799,1.42903,1.46135,0.70201,0.24259,0.12408,0.02352,0.00893,2.9634,6.65885,1.55508,0.0102454,0.0102454,0.0102454
11,186.928,1.42345,1.44878,0.70098,0.38966,0.05743,0.05119,0.02527,2.83252,4.42246,1.40127,0.0102105,0.0102105,0.0102105
12,203.717,1.37146,1.37309,0.68092,0.62203,0.2726,0.24067,0.12752,1.71794,2.52949,0.97181,0.0101755,0.0101755,0.0101755
13,218.447,1.3811,1.39476,0.68573,0.52193,0.23183,0.19557,0.08887,2.06187,2.54471,1.20006,0.0101406,0.0101406,0.0101406
14,232.611,1.40163,1.43006,0.69324,0.28079,0.1593,0.08877,0.03611,2.49929,3.41184,1.26948,0.0101056,0.0101056,0.0101056
15,246.762,1.37347,1.3701,0.68368,0.32047,0.10466,0.05069,0.0188,2.62209,inf,1.64277,0.0100707,0.0100707,0.0100707
16,261.35,1.34943,1.34139,0.67437,0.40701,0.28723,0.26002,0.12722,1.97789,3.14602,1.04859,0.0100357,0.0100357,0.0100357
17,275.396,1.36427,1.35096,0.67972,0.45217,0.03996,0.06541,0.03253,3.19523,5.14424,1.42827,0.0100008,0.0100008,0.0100008
18,289.665,1.34892,1.33389,0.676,0.59161,0.19139,0.16176,0.06779,2.3222,2.99875,1.16963,0.00996582,0.00996582,0.00996582
19,303.712,1.34776,1.33189,0.67527,0.65967,0.25431,0.26681,0.12064,2.01916,3.03859,1.04633,0.00993087,0.00993087,0.00993087
20,318.139,1.34707,1.33285,0.67543,0.27832,0.21661,0.12863,0.05792,2.31533,3.77733,1.14746,0.00989592,0.00989592,0.00989592
21,332.398,1.34139,1.30837,0.67358,0.56738,0.33281,0.30688,0.17293,1.67453,2.31047,0.97642,0.00986096,0.00986096,0.00986096
22,346.637,1.33687,1.29007,0.66747,0.45234,0.36944,0.32826,0.17736,1.78828,2.26951,0.97409,0.00982601,0.00982601,0.00982601
23,360.72,1.33698,1.29758,0.67042,0.66307,0.34107,0.33663,0.18587,1.7311,1.83397,0.97614,0.00979106,0.00979106,0.00979106
24,375.799,1.32799,1.27658,0.66544,0.68623,0.33906,0.34429,0.18336,1.67345,1.9534,0.95226,0.00975611,0.00975611,0.00975611
25,389.914,1.32018,1.27989,0.66329,0.58434,0.35974,0.33917,0.18553,1.62673,1.79026,0.89375,0.00972116,0.00972116,0.00972116
26,404.234,1.30773,1.25804,0.66196,0.54668,0.35073,0.28827,0.1589,1.70489,2.39157,0.91684,0.0096862,0.0096862,0.0096862
27,418.501,1.30895,1.26786,0.66103,0.43902,0.31858,0.27735,0.14759,1.84837,2.26972,0.96161,0.00965125,0.00965125,0.00965125
28,433.48,1.31002,1.28802,0.663,0.50937,0.37189,0.33629,0.18288,1.67842,2.07126,0.92509,0.0096163,0.0096163,0.0096163
29,447.714,1.31823,1.27476,0.66448,0.49096,0.29193,0.25985,0.13158,1.74232,2.27222,0.95606,0.00958135,0.00958135,0.00958135
30,461.999,1.31296,1.25551,0.66167,0.69403,0.30895,0.33118,0.18772,1.6577,2.14428,0.89311,0.0095464,0.0095464,0.0095464
31,477.464,1.296,1.24485,0.65691,0.41955,0.36177,0.30516,0.15026,1.74873,1.99406,0.98049,0.00951144,0.00951144,0.00951144
32,491.72,1.28682,1.23649,0.65401,0.42165,0.36199,0.30881,0.15557,1.72392,1.87486,0.93233,0.00947649,0.00947649,0.00947649
33,506.183,1.30107,1.24645,0.65762,0.48249,0.35605,0.31822,0.16526,1.69399,1.98581,0.95852,0.00944154,0.00944154,0.00944154
34,520.264,1.29793,1.24945,0.65632,0.66099,0.31194,0.31339,0.15882,1.76675,2.30306,0.98609,0.00940659,0.00940659,0.00940659
35,535.01,1.29035,1.22443,0.6551,0.50962,0.30895,0.19806,0.08933,1.91924,3.29051,1.01755,0.00937164,0.00937164,0.00937164
36,549.109,1.29532,1.23031,0.65696,0.63899,0.37801,0.37182,0.19717,1.66611,1.89832,0.90456,0.00933669,0.00933669,0.00933669
37,563.199,1.28601,1.23168,0.65455,0.44382,0.41962,0.38476,0.2128,1.57957,1.84878,0.87059,0.00930173,0.00930173,0.00930173
38,577.19,1.27424,1.1945,0.64915,0.54205,0.27498,0.25225,0.12053,1.81328,2.8189,1.00012,0.00926678,0.00926678,0.00926678
39,591.956,1.27912,1.22328,0.65223,0.38488,0.26293,0.22506,0.10226,1.99301,2.61647,1.00639,0.00923183,0.00923183,0.00923183
40,606.034,1.28661,1.21451,0.65106,0.59346,0.37101,0.34089,0.18463,1.66166,2.04465,0.9326,0.00919688,0.00919688,0.00919688
41,620.108,1.27971,1.21027,0.65195,0.4598,0.41393,0.39573,0.21679,1.57949,1.7269,0.91197,0.00916193,0.00916193,0.00916193
42,634.168,1.27389,1.17783,0.64484,0.4809,0.38973,0.3553,0.19249,1.66013,1.7475,0.90346,0.00912697,0.00912697,0.00912697
43,648.806,1.25027,1.16777,0.643,0.51499,0.40716,0.39222,0.22004,1.61037,1.94952,0.92195,0.00909202,0.00909202,0.00909202
44,662.708,1.2795,1.20477,0.65259,0.49064,0.4047,0.39801,0.22755,1.60287,1.87108,0.89724,0.00905707,0.00905707,0.00905707
45,676.835,1.25748,1.17431,0.64295,0.51129,0.40466,0.38501,0.21972,1.627,2.23396,0.92041,0.00902212,0.00902212,0.00902212
46,691.221,1.26776,1.19467,0.64819,0.6317,0.3804,0.37099,0.21461,1.64479,1.97222,0.92303,0.00898717,0.00898717,0.00898717
47,705.327,1.26136,1.19427,0.64377,0.40582,0.44589,0.40145,0.22029,1.57917,1.81777,0.88647,0.00895222,0.00895222,0.00895222
48,719.419,1.25306,1.16221,0.64143,0.56002,0.41129,0.37068,0.19317,1.6795,2.24557,0.89329,0.00891726,0.00891726,0.00891726
49,733.394,1.25711,1.15603,0.63875,0.59721,0.42546,0.39932,0.22798,1.55474,1.62259,0.87753,0.00888231,0.00888231,0.00888231
50,747.87,1.23584,1.16284,0.64025,0.51799,0.38364,0.37143,0.20397,1.61567,2.04987,0.90003,0.00884736,0.00884736,0.00884736
51,761.87,1.2494,1.14916,0.63941,0.64653,0.31414,0.27579,0.15199,1.91348,3.09836,1.04164,0.00881241,0.00881241,0.00881241
52,775.946,1.25613,1.15117,0.63938,0.46452,0.44081,0.39577,0.21656,1.58639,1.69017,0.86375,0.00877746,0.00877746,0.00877746
