fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.20384,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.20706,0.00985,0.00896,0.87509,0.00057,3.09516,0.9108,5.34685,0.5,1.29591,0.015,0.54898,0.4,0.0,0.1,0.59805,0.0,0.0,0.0,0.47763,0.0,1.0,0.0,0.0
0.19036,0.01069,0.00896,0.84284,0.00058,2.74828,0.95,5.94255,0.5,1.29062,0.01367,0.5464,0.40527,0.0,0.1,0.65331,0.0,0.0,0.0,0.47763,0.0,0.78826,0.0,0.0
0.19232,0.01014,0.00804,0.86757,0.00041,3.37747,0.9108,5.34685,0.59515,1.58184,0.012,0.69301,0.42866,0.0,0.0679,0.65788,0.0,0.0,0.0,0.47763,0.0,0.93542,0.0,0.0
0.21169,0.00985,0.00834,0.86403,0.00057,3.06836,0.83407,5.0996,0.55306,1.12126,0.01558,0.5666,0.41984,0.0,0.09768,0.56803,0.0,0.0,0.0,0.52726,0.0,1.0,0.0,0.0
0.20891,0.01074,0.00896,0.90837,0.00045,3.32181,0.74759,4.46117,0.55065,1.11588,0.015,0.48905,0.4,0.0,0.11788,0.59805,0.0,0.0,0.0,0.44336,0.0,1.0,0.0,0.0
0.21793,0.00991,0.00625,0.7932,0.00053,3.06836,0.70931,7.81675,0.52673,1.3683,0.01653,0.5666,0.41984,0.0,0.09163,0.37617,0.0,0.0,0.0,0.5095,0.0,1.0,0.0,0.0
0.20674,0.00985,0.00837,0.9162,0.0006,3.09516,0.95,5.09108,0.5,1.23459,0.01441,0.65762,0.3136,0.0,0.09056,0.61462,0.0,0.0,0.0,0.57655,0.0,1.0,0.0,0.0
0.20187,0.01074,0.00768,0.90837,0.00052,2.91086,0.74759,5.24611,0.47684,0.882,0.01355,0.41852,0.38892,0.0,0.11223,0.6185,0.0,0.0,0.0,0.44336,0.0,1.0,0.0,0.0
0.21103,0.00991,0.00645,0.7932,0.00053,3.0933,0.70931,7.81675,0.52097,1.3683,0.01646,0.56013,0.42274,0.0,0.09082,0.37617,0.0,0.0,0.0,0.49633,0.0,0.99726,0.0,0.0
0.21473,0.00991,0.00626,0.79413,0.00054,3.06836,0.72414,7.90144,0.52099,1.36055,0.01643,0.56519,0.41984,0.0,0.09255,0.37617,0.0,0.0,0.0,0.5103,0.0,1.0,0.0,0.0
0.20944,0.01011,0.00612,0.83157,0.00048,3.35667,0.63512,7.73666,0.4679,1.30552,0.01643,0.58809,0.44609,0.0,0.09457,0.37617,0.0,0.0,0.0,0.47876,0.0,1.0,0.0,0.0
0.21447,0.01035,0.00636,0.79169,0.00053,3.04846,0.70086,7.71578,0.53099,1.38525,0.01695,0.53408,0.42819,0.0,0.09255,0.36431,0.0,0.0,0.0,0.5103,0.0,1.0,0.0,0.0
0.22152,0.01198,0.00724,0.781,0.00053,3.04846,0.70086,8.69123,0.53099,1.38525,0.02263,0.53408,0.34606,0.0,0.11025,0.36057,0.0,0.0,0.0,0.5103,0.0,1.0,0.0,0.0
0.21466,0.00991,0.00506,0.84686,0.00048,3.06836,0.67283,6.7685,0.4855,1.84061,0.01773,0.55077,0.33047,0.0,0.06376,0.38527,0.0,0.0,0.0,0.45594,0.0,0.8626,0.0,0.0
0.21568,0.00988,0.00625,0.78956,0.00052,3.06836,0.70026,7.87716,0.5163,1.37151,0.01643,0.56539,0.41532,0.0,0.09163,0.3799,0.0,0.0,0.0,0.50918,0.0,0.99246,0.0,0.0
0.21524,0.00991,0.00618,0.7932,0.00051,3.02544,0.70931,7.81675,0.50819,1.31077,0.01674,0.62838,0.40872,0.0,0.09848,0.34107,0.0,0.0,0.0,0.52755,0.0,1.0,0.0,0.0
0.2215,0.01011,0.00638,0.79629,0.00054,3.19811,0.70931,7.78513,0.53539,1.27085,0.016,0.56541,0.37618,0.0,0.08475,0.37617,0.0,0.0,0.0,0.5095,0.0,0.99023,0.0,0.0
