fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.22816,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.22652,0.01052,0.01106,0.937,0.00045,2.87211,0.8383,7.38966,0.47132,1.5,0.01416,0.71286,0.4,0.0,0.10155,0.5,0.0,0.0,0.0,0.46631,0.0,0.97426,0.0,0.0
0.22368,0.01,0.00986,0.95303,0.00051,3.0,0.89393,7.52878,0.48002,1.50913,0.01483,0.70062,0.4,0.0,0.1024,0.47034,0.0,0.0,0.0,0.4969,0.0,1.0,0.0,0.0
0.24449,0.00945,0.01303,0.89908,0.00044,3.11865,0.91214,6.94769,0.39877,1.31278,0.01388,0.70833,0.38734,0.0,0.09332,0.5199,0.0,0.0,0.0,0.48765,0.0,0.89328,0.0,0.0
0.24955,0.00933,0.00978,0.95647,0.00043,2.87211,0.82874,7.75731,0.4832,1.51381,0.01489,0.64142,0.40301,0.0,0.10122,0.54658,0.0,0.0,0.0,0.59351,0.0,1.0,0.0,0.0
0.20674,0.00858,0.01003,0.95647,0.00035,2.97685,0.94847,7.75731,0.42896,1.51381,0.01511,0.64142,0.41617,0.0,0.11798,0.66556,0.0,0.0,0.0,0.56177,0.0,1.0,0.0,0.0
0.24472,0.00945,0.01277,0.89908,0.00048,3.03259,0.95,6.91656,0.374,1.33783,0.01388,0.70833,0.43967,0.0,0.09332,0.48754,0.0,0.0,0.0,0.54282,0.0,0.80578,0.0,0.0
0.24954,0.00829,0.01655,0.89908,0.00048,1.77602,0.95,6.91656,0.28063,1.22343,0.01342,0.70833,0.42782,0.0,0.09638,0.46517,0.0,0.0,0.0,0.54282,0.0,0.99922,0.0,0.0
0.19507,0.00825,0.01655,0.89592,0.00048,1.7675,0.95,6.87452,0.28252,1.22343,0.01342,0.70212,0.42579,0.0,0.0963,0.46471,0.0,0.0,0.0,0.54198,0.0,0.99534,0.0,0.0
0.21118,0.00945,0.01303,0.91891,0.00043,2.78987,0.95,8.5773,0.33786,1.32514,0.01431,0.81091,0.38861,0.0,0.08273,0.53632,0.0,0.0,0.0,0.4826,0.0,1.0,0.0,0.0
0.24194,0.00945,0.01303,0.91487,0.00044,2.90899,0.95,7.09092,0.42711,1.31278,0.01302,0.65897,0.40488,0.0,0.09559,0.51015,0.0,0.0,0.0,0.47724,0.0,0.86629,0.0,0.0
0.24144,0.01097,0.01527,0.95038,0.00048,3.48168,0.95,6.03932,0.40379,1.3041,0.01462,0.8148,0.43967,0.0,0.09811,0.52442,0.0,0.0,0.0,0.42706,0.0,0.81211,0.0,0.0
0.22676,0.00933,0.00978,0.95645,0.00043,2.87503,0.82855,7.75805,0.48313,1.51377,0.01489,0.6412,0.40316,0.0,0.10119,0.54689,0.0,0.0,0.0,0.59376,0.0,0.99991,0.0,0.0
0.22309,0.00934,0.01278,0.91157,0.00044,3.22837,0.91214,6.83962,0.39332,1.27485,0.01388,0.71714,0.38734,0.0,0.09331,0.51676,0.0,0.0,0.0,0.48765,0.0,0.95995,0.0,0.0
0.23332,0.01056,0.01135,0.95647,0.00033,2.75796,0.77457,8.75506,0.39303,1.81709,0.01434,0.9,0.41071,0.0,0.11161,0.5342,0.0,0.0,0.0,0.7181,0.0,0.70029,0.0,0.0
0.24782,0.00826,0.01652,0.89765,0.00048,1.77602,0.95,6.92145,0.27977,1.22343,0.01328,0.70736,0.42582,0.0,0.096,0.46517,0.0,0.0,0.0,0.53976,0.0,0.9968,0.0,0.0
0.23633,0.00823,0.01655,0.90248,0.00049,1.80856,0.95,6.91656,0.28445,1.21107,0.0137,0.70324,0.42782,0.0,0.09638,0.46437,0.0,0.0,0.0,0.54282,0.0,1.0,0.0,0.0
0.23458,0.00987,0.00959,0.95647,0.00046,2.82456,0.81493,7.92112,0.44147,1.50888,0.0135,0.64142,0.37067,0.0,0.10249,0.54658,0.0,0.0,0.0,0.68232,0.0,1.0,0.0,0.0
0.24659,0.00707,0.01491,0.88381,0.00056,1.70105,0.95,6.2062,0.30639,1.22343,0.01342,0.56266,0.42782,0.0,0.08909,0.47674,0.0,0.0,0.0,0.50586,0.0,1.0,0.0,0.0
0.23118,0.0087,0.01724,0.85941,0.00061,1.7846,0.85492,6.2062,0.32247,1.11128,0.00667,0.66236,0.43337,0.0,0.10296,0.56533,0.0,0.0,0.0,0.43451,0.0,1.0,0.0,0.0
0.2268,0.00853,0.01652,0.81052,0.00046,1.71794,0.8401,5.97472,0.28341,1.32681,0.01106,0.70736,0.52722,0.0,0.10155,0.51576,0.0,0.0,0.0,0.53976,0.0,0.98568,0.0,0.0
0.23413,0.00813,0.01655,0.92154,0.00049,1.69794,0.85165,7.94,0.29495,1.20933,0.01201,0.73467,0.48693,0.0,0.09882,0.46517,0.0,0.0,0.0,0.54282,0.0,1.0,0.0,0.0
0.21788,0.00778,0.01693,0.90153,0.00046,1.79919,0.92544,7.07662,0.27977,1.23566,0.01319,0.75005,0.42582,0.0,0.09536,0.46379,0.0,0.0,0.0,0.53324,0.0,1.0,0.0,0.0
0.22684,0.00963,0.00967,0.9313,0.00042,2.99946,0.82874,6.76452,0.50573,1.51381,0.01546,0.68119,0.40879,0.0,0.09922,0.54158,0.0,0.0,0.0,0.59432,0.0,1.0,0.0,0.0
0.21082,0.00954,0.01007,0.95014,0.00041,2.87211,0.82142,7.66546,0.47892,1.45623,0.01505,0.64607,0.40944,0.0,0.10533,0.55026,0.0,0.0,0.0,0.60608,0.0,0.99392,0.0,0.0
0.25409,0.00956,0.01013,0.97294,0.00043,3.08681,0.82874,7.75731,0.4832,1.46943,0.01507,0.65767,0.42403,0.0,0.09804,0.52976,0.0,0.0,0.0,0.58352,0.0,0.99633,0.0,0.0
0.21954,0.00823,0.01558,0.89765,0.00049,1.77602,0.94929,6.67382,0.28987,1.26452,0.01273,0.74385,0.40653,0.0,0.09758,0.46517,0.0,0.0,0.0,0.50467,0.0,1.0,0.0,0.0
0.24031,0.00829,0.01655,0.87452,0.00057,1.77602,0.87506,7.51178,0.29284,1.37088,0.01181,0.70833,0.42782,0.0,0.08061,0.46517,0.0,0.0,0.0,0.55241,0.0,0.85587,0.0,0.0
0.24265,0.00819,0.01741,0.89908,0.00053,1.96223,0.92512,7.48337,0.28063,1.18008,0.01404,0.7247,0.50391,0.0,0.10138,0.47225,0.0,0.0,0.0,0.6024,0.0,0.99922,0.0,0.0
0.20594,0.00935,0.00978,0.94913,0.00043,2.87211,0.82874,7.75731,0.49006,1.35116,0.01499,0.67219,0.40301,0.0,0.10036,0.56407,0.0,0.0,0.0,0.59351,0.0,0.99748,0.0,0.0
