epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3907,1.73068,3.78532,1.9879,0,0,0,0,0,0.62988,0,0.00025377,0.00025377,0.00025377
2,24.8731,1.70766,3.21182,1.93099,0,0,0,0,0,10.5781,0,0.000484853,0.000484853,0.000484853
3,36.1459,1.70791,2.98009,1.93442,0,0,0,0,0,4.07031,0,0.000690559,0.000690559,0.000690559
4,47.3508,1.70429,2.828,1.937,0,0,0,0,0,4.81641,0,0.000654804,0.000654804,0.000654804
5,58.535,1.63024,2.70561,1.86968,0,0,0,0,0,6.27734,0,0.000616738,0.000616738,0.000616738
6,69.6647,1.60432,2.62792,1.84101,0,0,0,0,0,4.26562,0,0.000578672,0.000578672,0.000578672
7,80.5915,1.56812,2.56974,1.80158,0,0,0,0,0,6.875,0,0.000540607,0.000540607,0.000540607
8,91.7101,1.56177,2.49561,1.81591,0,0,0,0,0,10.8594,0,0.000502541,0.000502541,0.000502541
9,103.288,1.52878,2.39161,1.77342,0,0,0,0,0,4.43359,0,0.000464476,0.000464476,0.000464476
10,115.127,1.50454,2.34489,1.76306,0,0,0,0,0,4.625,0,0.000426411,0.000426411,0.000426411
11,147.979,1.55875,2.38885,1.95729,0,0,0,0,0,6.58203,0,0.000388345,0.000388345,0.000388345
12,158.94,1.47815,2.22861,1.86664,0,0,0,0,0,6.47656,0,0.00035028,0.00035028,0.00035028
13,170.266,1.46737,2.17393,1.86103,0,0,0,0,0,7.57812,0,0.000312214,0.000312214,0.000312214
14,182.575,1.41912,2.04431,1.82297,0,0,0,0,0,8.59375,0,0.000274148,0.000274148,0.000274148
15,195.059,1.37729,1.97704,1.77031,0,0,0,0,0,7.78125,0,0.000236083,0.000236083,0.000236083
16,207.488,1.36003,1.92164,1.75748,0,0,0,0,0,5.36328,0,0.000198018,0.000198018,0.000198018
17,219.86,1.32312,1.85472,1.72193,0,0,0,0,0,4.67578,0,0.000159952,0.000159952,0.000159952
18,232.236,1.30399,1.79874,1.70638,0,0,0,0,0,4.96484,0,0.000121887,0.000121887,0.000121887
19,244.491,1.2568,1.72722,1.65951,0,0,0,0,0,5.66797,0,8.3821e-05,8.3821e-05,8.3821e-05
20,256.846,1.24595,1.69943,1.65315,0,0,0,0,0,6.94531,0,4.57555e-05,4.57555e-05,4.57555e-05
